variant,metric,v48_24_best_epoch,v48_24_value,v48_25_best_epoch,v48_25_value,delta_v48_25_minus_v48_24,comparison_status
balanced,direct_raw_admission_rate_near,2,0.0,0,0.008403361344537815,0.008403361344537815,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_raw_admission_rate_contact,2,0.0,0,0.034482758620689655,0.034482758620689655,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_positive_admission_recall_near,2,0.0,0,0.0,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_positive_admission_recall_contact,2,0.0,0,0.03571428571428571,0.03571428571428571,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_conditional_recovery_top1_accuracy_near,2,0.7226890756302521,0,0.7226890756302521,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_conditional_recovery_top1_accuracy_contact,2,0.7103448275862069,0,0.7103448275862069,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_conditional_recovery_regret_mean_near,2,0.1417723008771936,0,0.1417723008771936,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_conditional_recovery_regret_mean_contact,2,0.13050861590970228,0,0.13050861590970228,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_certificate_positive_top1_accuracy_near,2,0.3333333333333333,0,0.3333333333333333,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_certificate_positive_top1_accuracy_contact,2,0.5357142857142857,0,0.32142857142857145,-0.21428571428571425,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_certificate_positive_regret_mean_near,2,0.3788492003248798,0,0.3890258908271789,0.010176690502299135,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_certificate_positive_regret_mean_contact,2,0.212421220690012,0,0.2650405497500989,0.05261932906008687,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_harmful_switch_rate_near,2,0.0,0,0.0,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_harmful_switch_rate_contact,2,0.0,0,0.006896551724137931,0.006896551724137931,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_false_intervention_rate_near,2,0.0,0,0.0,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
balanced,direct_false_intervention_rate_contact,2,0.0,0,0.03103448275862069,0.03103448275862069,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_raw_admission_rate_near,27,0.0,3,0.008403361344537815,0.008403361344537815,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_raw_admission_rate_contact,27,0.0,3,0.04827586206896552,0.04827586206896552,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_positive_admission_recall_near,27,0.0,3,0.0,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_positive_admission_recall_contact,27,0.0,3,0.03571428571428571,0.03571428571428571,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_conditional_recovery_top1_accuracy_near,27,0.6554621848739496,3,0.6554621848739496,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_conditional_recovery_top1_accuracy_contact,27,0.7241379310344828,3,0.7241379310344828,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_conditional_recovery_regret_mean_near,27,0.17921681149917487,3,0.17921681149917487,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_conditional_recovery_regret_mean_contact,27,0.1263512167835343,3,0.1263512167835343,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_certificate_positive_top1_accuracy_near,27,0.4444444444444444,3,0.3333333333333333,-0.1111111111111111,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_certificate_positive_top1_accuracy_contact,27,0.42857142857142855,3,0.32142857142857145,-0.1071428571428571,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_certificate_positive_regret_mean_near,27,0.322644479572773,3,0.3737609931164318,0.051116513543658815,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_certificate_positive_regret_mean_contact,27,0.19936094365727125,3,0.20824741723281998,0.008886473575548726,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_harmful_switch_rate_near,27,0.0,3,0.0,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_harmful_switch_rate_contact,27,0.0,3,0.010344827586206896,0.010344827586206896,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_false_intervention_rate_near,27,0.0,3,0.0,0.0,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
precision,direct_false_intervention_rate_contact,27,0.0,3,0.04482758620689655,0.04482758620689655,development-only; v48.24/v48.25 downstream inference contracts were not equivalent
