id,issue,impact,v48.36_fix,status
E01,mixed v48.34/v48.35/v48.35.1/v48.35.2/v50.x files in one ZIP,stale scripts or markers can be attributed to the wrong algorithm,"version-scoped completion contract, attempt ID, resolver, downstream v48.36-only commands",fixed
E02,Near and Contact formerly fit separate frozen rules,deployment policy silently branches by regime,one shared rule; strata only for worst-case audit; SHA-checked rule reuse,retained fixed design
E03,proposal_exact_eligible diagnostic semantics can diverge from frozen rule,diagnostic name can overstate deployability,exact deployment thresholds carried in checkpoint/stage contracts and verified before certificate,fixed
E04,training boundary differed from fitted deployment boundary,boundary ablation did not act on deployed boundary,identity loss uses exact opportunity/harm thresholds and runtime order,fixed
E05,soft barrier allowed benefit/residual compensation,unsafe component could be admitted,non-compensatory smooth cap remains mandatory,fixed
E06,physical_relative was action-only and excluded continuous scene pressure,same action delta treated similarly across different clearance/contact geometry,OCAF multiplicative action x nominal-observation interaction; zero action exactly zero,fixed algorithmically; needs real experiment
E07,"generic 100k parameter cap killed legacy-context ablation (267,774 parameters)",A returned RC30 and B/C never ran; invalid scientific conclusion,exact checkpoint trainable-prefix contract; generic cap disabled unless explicit; independent ablation tasks,fixed
E08,raw RC=3 could be mapped ambiguously to 30,algorithm rejection and engineering failure can be confused,only 0/20 are algorithm outcomes; all other codes normalize to 30 with stage-specific JSON,fixed
E09,gate-passed commands referenced old scripts,post-gate experiment could use wrong version,generated commands call v48.36 Safe/stress wrappers only,fixed
E10,legacy dataset aliases such as traincontact differ from canonical train_contact,silent sample/provenance drift,canonical dataset-root contract rejects aliases before expensive work,fixed
E11,stale completion/gate/failure markers can coexist,wrong RC inferred from file presence,atomic authoritative state plus attempt-scoped stale-marker archive,fixed
E12,scene branch could create a residual without candidate action,scene shortcut masquerades as candidate effect,all OCAF output terms are bias-free and action-gated; zero action unit-tested,fixed
E13,LayerNorm-only action representation can erase action magnitude,weak ordering of mild versus strong braking/steering,raw signed action path plus RMS-gated normalized direction path,fixed
E14,test-root access before gate would invalidate protocol,held-out leakage,main scripts report test_roots_read=false; Safe/stress authorized only after authoritative RC0,fixed
E15,v48.36 certificate script initially referenced two missing version-specific tools,next run would stop after development-rule fitting with RC30,added version-scoped shared-rule fitter and metric-calibration contract; dependency closure now has zero missing references,fixed
E16,initial 2x2 contracts hard-coded OCAF and non-compensatory-cap metadata for every arm,action-only and soft-slack controls would be misclassified as RC30 rather than scientific outcomes,"context/cap expectations now derive from each arm; cache identity includes interaction width/dropout, consensus scale and prior mode",fixed
E17,initial resume checker retained physical_relative and v48.36.1 strings,a legitimate OCAF metadata-only resume would be rejected or mislabeled,"resume authorization is now exact v48.36 OCAF, physical_interaction-specific and fail-closed",fixed
E18,uploaded TeX used an incomplete hyperref package declaration,paper failed before algorithm sections could compile,changed to usepackage[hidelinks]{hyperref}; TeX now emits a PDF; bibliography remains absent from upload,fixed compile blocker; missing bibliography disclosed
