id,issue,status,evidence,resolution
E01,RC=30 normalization,confirmed_fixed,Both adaptations returned 0; failure stage training_contract; raw RC=4 normalized to 30.,Preserve RC=30 for engineering/protocol failure; do not interpret as algorithm rejection.
E02,Exact-eligibility metadata/checker mismatch,confirmed_fixed,Trainer enabled exact eligibility but stage JSON omitted exact_deployment_eligibility_metric; checker required only that key.,Write exact metadata and verify checkpoint cfg; legacy repair only when new key is absent and all checkpoints prove true.
E03,Legacy metadata can hide explicit contradiction,confirmed_fixed,A naive old-or-new check would accept exact_deployment_eligibility_metric=false when legacy semantic key is true.,Explicit false is rejected; only an absent new key may use checkpoint-proven legacy repair.
E04,Unsafe no-retraining reuse,confirmed_fixed,Deleting the failed status or skipping training unconditionally could reuse changed/corrupt checkpoints.,"Narrow resume authorization checks original failure signature, stored hashes, controller final hashes, stage transfer, support hash, physical semantics and sealed test roots."
E05,Certificate contamination during repair,confirmed_fixed,Stale calibration/GATE artifacts could make a resume ambiguous.,"Resume refuses existing candidate calibration directories, GATE_SPEC, NEXT_COMMANDS, GATE_FAILED or CALIBRATION_FAILED."
E06,Index drift during checkpoint reuse,confirmed_fixed,Rebuilding adaptation or adaptation-dev indices would destroy provenance of the trained checkpoints.,Resume mode refuses missing/changed index contracts and wrapper unsets rebuild flags.
E07,Accidental retraining,confirmed_fixed,A generic controller restart would launch both adaptations again.,RESUME_AFTER_ADAPTATION=1 skips both variants only after authorization; wrapper never invokes adaptation scripts.
E08,Help request launches experiment,confirmed_fixed,Shell wrapper originally had no option parser.,--help exits 0; all other positional arguments are rejected.
E09,Current v48.35 algorithm attribution,blocked_by_pipeline,certificate_executed=false; gate_evaluated=false; no shared rule or certificate metrics exist.,Do not claim v48.35 success/failure; run repaired certificate first.
E10,Historical pytest false regression,documented_boundary,Uploaded code omits scripts referenced by retained v48.12-v48.32 tests.,Use supported release matrix; do not fabricate missing historical scripts.
E11,Regime-specific policy split,not_present_in_v48_35_code,"One network, physical_relative context, noncompensatory frontier and one shared fitted rule; regime names are audit strata.",Retain this design; never feed regime ID or fit per-regime deployment rules.
E12,Paper/code novelty mismatch,manuscript_fix_required,TeX lines 684-708 describe a regime-conditioned second admission channel.,Rewrite before submission to one continuous shared frontier; regimes remain evaluation strata only.
